"","Setting","rep","alpha","beta","gamma","y.mean","Truth","Unadjusted","PSReg","PSS","IPW","IPW2"
"result.62",7,62,-1,7,-4.3,0.267532295646662,-0.17098451122814,-0.106497724117691,-0.115419656254339,-0.115360699776429,-0.135914296712477,-0.115385677998506
"result.63",7,63,-1,7,-4.3,0.266320229317377,-0.17098451122814,-0.102445190916571,-0.112661728421383,-0.112504503912968,-0.133623052257791,-0.113252469652944
"result.64",7,64,-1,7,-4.3,0.266466513184704,-0.17098451122814,-0.104765553857038,-0.114638276835438,-0.114821243047165,-0.135137833146267,-0.114735787869834
"result.65",7,65,-1,7,-4.3,0.266473479083148,-0.17098451122814,-0.105548599296965,-0.114899055532248,-0.114641195669528,-0.13545417637935,-0.115033200514326
"result.66",7,66,-1,7,-4.3,0.268051255080752,-0.17098451122814,-0.102214433335583,-0.111973327027123,-0.112066037073664,-0.132858593934059,-0.112362627476459
"result.67",7,67,-1,7,-4.3,0.268441345393626,-0.17098451122814,-0.105175015825848,-0.116364936145958,-0.116300840443818,-0.137428410142497,-0.116863544155394
"result.68",7,68,-1,7,-4.3,0.266992438517239,-0.17098451122814,-0.105819503137162,-0.115471297946522,-0.115326766337169,-0.136323792621365,-0.11589143979133
"result.69",7,69,-1,7,-4.3,0.268744361975947,-0.17098451122814,-0.103397657175804,-0.112781283829015,-0.112752941269365,-0.133395007911512,-0.112831014601039
"result.70",7,70,-1,7,-4.3,0.267978113147088,-0.17098451122814,-0.105105529290099,-0.116560068317804,-0.116416527779228,-0.137248305110914,-0.116735704936024
"result.71",7,71,-1,7,-4.3,0.266846154649911,-0.17098451122814,-0.104099846849331,-0.114519910969622,-0.114449351922898,-0.135377419883673,-0.114935697613485
"result.72",7,72,-1,7,-4.3,0.268605044007063,-0.17098451122814,-0.102544865860826,-0.113547245798805,-0.113220812238454,-0.1343820114506,-0.11381679658665
"result.73",7,73,-1,7,-4.3,0.267992044943977,-0.17098451122814,-0.103290899008611,-0.112871866205398,-0.112814271404461,-0.133507374759327,-0.11300980297609
